Ano,Bandeira,Valor de Venda
2004,ALESAT,2.1088579117330464
2004,AMERICANOIL,2.2696715686274507
2004,ATEM' S,2.1511764705882355
2004,BRANCA,2.0972117486224917
2004,CHARRUA,2.2939422700587087
2004,CIAPETRO,2.1258235294117647
2004,DIBRAPE,2.1341176470588237
2004,DISLUB,2.1621308777429467
2004,EQUADOR,2.2163529411764706
2004,IDAZA,2.225304347826087
2004,IPIRANGA,2.1782778976269856
2004,LARCO,2.0535294117647056
2004,PETROBAHIA,2.240215980024969
2004,POTENCIAL,2.14597476340694
2004,RAIZEN,2.126562160867728
2004,RAIZEN MIME,2.227294117647059
2004,REJAILE,2.196415354330709
2004,RIO BRANCO,2.199763313609467
2004,ROYAL FIC,2.1041325301204816
2004,SABBÁ,2.2735007108330962
2004,SETTA DISTRIBUIDORA,2.1366016
2004,SIMARELLI,2.521855421686747
2004,SP,2.244023563218391
2004,TAURUS,2.3193517441860463
2004,TDC DISTRIBUIDORA,2.1516891781936534
2004,TEMAPE,2.2073837209302325
2004,UNI,2.062886274509804
2004,WALENDOWSKY,2.22540756302521
2005,ALESAT,2.3092562583817613
2005,AMERICANOIL,2.4694162895927603
2005,ATEM' S,2.6806293706293705
2005,BRANCA,2.3321485266952138
2005,CHARRUA,2.5816280587275693
2005,CIAPETRO,2.349364238410596
2005,DIBRAPE,2.4095833333333334
2005,DISLUB,2.3618281637717122
2005,EQUADOR,2.6466750629722924
2005,IDAZA,2.4008328267477204
2005,IPIRANGA,2.38266475029288
2005,LARCO,2.2288888888888887
2005,PETROBAHIA,2.4415191146881288
2005,POTENCIAL,2.381870182555781
2005,RAIZEN,2.330560865394863
2005,RAIZEN MIME,2.5183157894736845
2005,REJAILE,2.346378068739771
2005,RIO BRANCO,2.4008076923076924
2005,ROYAL FIC,2.3648481012658227
2005,SABBÁ,2.4401605450236965
2005,SETTA DISTRIBUIDORA,2.3484
2005,SIMARELLI,2.7196279069767444
2005,SP,2.4829633184778883
2005,TAURUS,2.567467105263158
2005,TDC DISTRIBUIDORA,2.3623743902439025
2005,TEMAPE,2.3913229813664594
2005,UNI,2.2327188612099644
2005,WALENDOWSKY,2.4552947976878614
2006,ALESAT,2.546751607306868
2006,AMERICANOIL,2.6745
2006,ATEM' S,2.643868613138686
2006,BRANCA,2.5483668421508523
2006,CHARRUA,2.7646953428201813
2006,CIAPETRO,2.5656254612546125
2006,DIBRAPE,2.5815204081632652
2006,DISLUB,2.6445544554455447
2006,EQUADOR,2.7071454545454547
2006,IDAZA,2.5401105651105653
2006,IPIRANGA,2.6122369369568585
2006,LARCO,2.61987012987013
2006,PETROBAHIA,2.7026251113089934
2006,POTENCIAL,2.5554806818181817
2006,RAIZEN,2.5712349199573103
2006,RAIZEN MIME,2.5911200980392155
2006,REJAILE,2.5539464882943146
2006,RIO BRANCO,2.6408953974895395
2006,ROYAL FIC,2.6370121951219514
2006,SABBÁ,2.7410686498855834
2006,SETTA DISTRIBUIDORA,2.6430194552529183
2006,SIMARELLI,2.9243748395378693
2006,SP,2.7066169104884703
2006,TAURUS,2.7802369668246447
2006,TDC DISTRIBUIDORA,2.6329082047116166
2006,TEMAPE,2.7065102040816327
2006,UNI,2.5037659574468085
2006,WALENDOWSKY,2.6850424628450105
2007,ALESAT,2.5372486446751816
2007,AMERICANOIL,2.6291988130563797
2007,ATEM' S,2.5402897033158816
2007,BRANCA,2.5193656857795297
2007,CHARRUA,2.6432243125904487
2007,CIAPETRO,2.4994912280701755
2007,DIBRAPE,2.5325050505050504
2007,DISLUB,2.618043425076453
2007,EQUADOR,2.5904579439252338
2007,IDAZA,2.5932260869565216
2007,IPIRANGA,2.568665198899174
2007,LARCO,2.5983617021276593
2007,PETROBAHIA,2.6534417238001957
2007,POTENCIAL,2.4793355614973263
2007,RAIZEN,2.5228481701175154
2007,RAIZEN MIME,2.557789644012945
2007,REJAILE,2.491258426966292
2007,RIO BRANCO,2.5789734219269103
2007,ROYAL FIC,2.562673184357542
2007,SABBÁ,2.6269136363636365
2007,SETTA DISTRIBUIDORA,2.5952429435483872
2007,SIMARELLI,2.8899883154819865
2007,SP,2.658515778758059
2007,TAURUS,2.7373089285714287
2007,TDC DISTRIBUIDORA,2.5876004605641914
2007,TEMAPE,2.582666666666667
2007,UNI,2.4803899371069185
2007,WALENDOWSKY,2.647842857142857
2008,ALESAT,2.5534078023186932
2008,AMERICANOIL,2.6050033670033668
2008,ATEM' S,2.5058447412353924
2008,BRANCA,2.5139872057451003
2008,CHARRUA,2.6425687285223365
2008,CIAPETRO,2.4419188311688313
2008,DIBRAPE,2.53924
2008,DISLUB,2.6186948387096773
2008,EQUADOR,2.6664917555771095
2008,IDAZA,2.586161616161616
2008,IPIRANGA,2.563752124025576
2008,LARCO,2.6228316831683167
2008,PETROBAHIA,2.6366961770623742
2008,POTENCIAL,2.491421779141104
2008,RAIZEN,2.5192032046988513
2008,RAIZEN MIME,2.5336186440677966
2008,REJAILE,2.4463228155339807
2008,RIO BRANCO,2.5986038647343
2008,ROYAL FIC,2.607103139013453
2008,SABBÁ,2.6572175141242935
2008,SETTA DISTRIBUIDORA,2.572411051212938
2008,SIMARELLI,2.812910020449898
2008,SP,2.6436335847558556
2008,TAURUS,2.7594018838304555
2008,TDC DISTRIBUIDORA,2.5898500355366028
2008,TEMAPE,2.6156666666666664
2008,UNI,2.4434
2008,WALENDOWSKY,2.6165443548387097
2009,ALESAT,2.5533594709494567
2009,AMERICANOIL,2.521904580152672
2009,ATEM' S,2.614096880131363
