Ano,Bandeira,Valor de Venda
2004,ALESAT,1.500379149470662
2004,ATEM' S,1.2685714285714287
2004,BRANCA,1.501621671915259
2004,CHARRUA,1.5992486126526082
2004,CIAPETRO,1.4854338235294118
2004,DIBRAPE,1.5164705882352942
2004,DISLUB,1.465661995053586
2004,EQUADOR,1.6168125
2004,IDAZA,1.5191565217391305
2004,IPIRANGA,1.5226243885169928
2004,LARCO,1.4022941176470587
2004,PETROBAHIA,1.48484375
2004,POTENCIAL,1.5224794952681389
2004,RAIZEN,1.5079620681783594
2004,RAIZEN MIME,1.5748235294117645
2004,RIO BRANCO,1.4755621301775148
2004,ROYAL FIC,1.5297619047619047
2004,SABBÁ,1.5697034419176397
2004,SIMARELLI,1.7443453815261045
2004,SP,1.5645932611311673
2004,TAURUS,1.6309922480620154
2004,WALENDOWSKY,1.5357226890756304
2005,ALESAT,1.7183330706593116
2005,ATEM' S,1.9477349397590362
2005,BRANCA,1.7426538145011308
2005,CHARRUA,1.836083409715857
2005,CIAPETRO,1.7588394648829433
2005,DIBRAPE,1.805057142857143
2005,DISLUB,1.669578737541528
2005,EQUADOR,1.960005681818182
2005,IDAZA,1.7427795527156549
2005,IPIRANGA,1.7381295414308158
2005,LARCO,1.5883555555555555
2005,PETROBAHIA,1.7148881256133464
2005,POTENCIAL,1.7506225165562914
2005,RAIZEN,1.7254183797884708
2005,RAIZEN MIME,1.8487021276595743
2005,RIO BRANCO,1.7202403846153846
2005,ROYAL FIC,1.7824255319148936
2005,SABBÁ,1.7436256426735217
2005,SIMARELLI,1.95456993006993
2005,SP,1.7681073968705547
2005,TAURUS,1.9154259259259259
2005,WALENDOWSKY,1.7906060606060605
2006,ALESAT,1.8594080383284537
2006,ATEM' S,2.000135135135135
2006,BRANCA,1.8667745556872037
2006,CHARRUA,1.969169837914024
2006,CIAPETRO,1.8484060721062618
2006,DIBRAPE,1.9119791666666666
2006,DISLUB,1.8464487594390508
2006,EQUADOR,2.1186329268292683
2006,IDAZA,1.8855388888888889
2006,IPIRANGA,1.8867979520936184
2006,LARCO,1.7428846153846154
2006,PETROBAHIA,1.8776838046272495
2006,POTENCIAL,1.8664885906040267
2006,RAIZEN,1.8750287230258478
2006,RAIZEN MIME,1.8840368550368551
2006,RIO BRANCO,1.8663931623931624
2006,ROYAL FIC,1.9556894409937888
2006,SABBÁ,1.9834956331877729
2006,SIMARELLI,2.120545806451613
2006,SP,1.8848341968911917
2006,TAURUS,2.076400921658986
2006,WALENDOWSKY,1.9385295698924732
2007,ALESAT,1.854125
2007,ATEM' S,1.9760709939148073
2007,BRANCA,1.8614141296769697
2007,CHARRUA,1.9637910321489003
2007,CIAPETRO,1.8590147058823527
2007,DIBRAPE,1.905030612244898
2007,DISLUB,1.8472407670454545
2007,EQUADOR,2.0753589211618255
2007,IDAZA,1.9252272727272728
2007,IPIRANGA,1.882885270287378
2007,LARCO,1.7619444444444445
2007,PETROBAHIA,1.8650420560747665
2007,POTENCIAL,1.8593817619783617
2007,RAIZEN,1.8688806268090628
2007,RAIZEN MIME,1.8720355987055017
2007,RIO BRANCO,1.8527733333333334
2007,ROYAL FIC,1.930566225165563
2007,SABBÁ,1.9865333333333335
2007,SIMARELLI,2.1192240704500978
2007,SP,1.8786734324030447
2007,TAURUS,2.0511354679802953
2007,WALENDOWSKY,1.9453888888888888
2008,ALESAT,2.0205463532922963
2008,ATEM' S,2.1430657193605684
2008,BRANCA,2.0181696355462173
2008,CHARRUA,2.1205718592964824
2008,CIAPETRO,1.9965572519083967
2008,DIBRAPE,2.0636315789473683
2008,DISLUB,2.001947010869565
2008,EQUADOR,2.2520448577680527
