,UF,LEITOS EXISTENTES,ano
212,RR,11531.0,2014
213,PI,98537.0,2014
214,AC,18108.0,2014
215,TO,34525.0,2014
216,PE,275712.0,2015
217,SE,43140.0,2015
218,BA,366429.0,2015
219,PA,203794.0,2015
220,SP,1283112.0,2015
221,MS,74299.0,2015
222,DF,92879.0,2015
223,ES,106800.0,2015
224,RJ,555098.0,2015
225,PR,360488.0,2015
226,SC,200320.0,2015
227,GO,225244.0,2015
228,AL,83259.0,2015
229,MG,554599.0,2015
230,MT,92069.0,2015
231,PB,111466.0,2015
232,CE,228633.0,2015
233,RS,410056.0,2015
234,RO,55208.0,2015
235,RN,93733.0,2015
236,AM,78449.0,2015
237,AP,14484.0,2015
238,MA,172868.0,2015
239,RR,11766.0,2015
240,PI,90359.0,2015
241,AC,18562.0,2015
242,TO,34259.0,2015
243,PE,279628.0,2016
244,SE,42925.0,2016
245,BA,363131.0,2016
246,PA,201760.0,2016
247,SP,1257512.0,2016
248,MS,73696.0,2016
249,DF,87951.0,2016
250,ES,104957.0,2016
251,RJ,542340.0,2016
252,PR,358207.0,2016
253,SC,198736.0,2016
254,GO,226149.0,2016
255,AL,83952.0,2016
256,MG,551154.0,2016
257,MT,94008.0,2016
258,PB,110837.0,2016
259,CE,226738.0,2016
260,RS,406614.0,2016
261,RO,54224.0,2016
262,RN,93285.0,2016
263,AM,78421.0,2016
264,AP,14560.0,2016
265,MA,177095.0,2016
266,RR,11794.0,2016
267,PI,88904.0,2016
268,AC,19073.0,2016
269,TO,33944.0,2016
270,PE,279790.0,2017
271,SE,41986.0,2017
272,BA,365681.0,2017
273,PA,201916.0,2017
274,SP,1243939.0,2017
275,MS,74354.0,2017
276,DF,90231.0,2017
277,ES,103367.0,2017
278,RJ,547047.0,2017
279,PR,357790.0,2017
280,SC,196933.0,2017
281,GO,230692.0,2017
282,AL,84028.0,2017
283,MG,548440.0,2017
284,MT,96884.0,2017
285,PB,111908.0,2017
286,CE,227469.0,2017
287,RS,405084.0,2017
288,RO,54916.0,2017
289,RN,93300.0,2017
290,AM,76502.0,2017
291,AP,14710.0,2017
292,MA,180741.0,2017
293,RR,12254.0,2017
294,PI,91880.0,2017
295,AC,18888.0,2017
296,TO,35016.0,2017
297,PE,277073.0,2018
298,SE,42009.0,2018
299,BA,370140.0,2018
300,PA,197645.0,2018
301,SP,1238981.0,2018
302,MS,72354.0,2018
303,DF,95124.0,2018
304,ES,102131.0,2018
305,RJ,535721.0,2018
306,PR,360069.0,2018
307,SC,196394.0,2018
308,GO,228510.0,2018
309,AL,79543.0,2018
310,MG,539496.0,2018
311,MT,98961.0,2018
312,PB,107905.0,2018
313,CE,234292.0,2018
314,RS,398214.0,2018
315,RO,55914.0,2018
316,RN,93830.0,2018
317,AM,78519.0,2018
318,AP,15390.0,2018
319,MA,179223.0,2018
320,RR,13208.0,2018
321,PI,92066.0,2018
322,AC,18906.0,2018
323,TO,35881.0,2018
324,PE,275219.0,2019
325,SE,41735.0,2019
326,BA,366995.0,2019
327,PA,189652.0,2019
328,SP,1234744.0,2019
329,MS,72828.0,2019
330,DF,102231.0,2019
331,ES,105655.0,2019
332,RJ,527170.0,2019
333,PR,362907.0,2019
334,SC,198441.0,2019
335,GO,223551.0,2019
336,AL,74831.0,2019
337,MG,536741.0,2019
338,MT,98996.0,2019
339,PB,105996.0,2019
340,CE,235393.0,2019
341,RS,394869.0,2019
342,RO,57383.0,2019
343,RN,92543.0,2019
344,AM,78214.0,2019
345,AP,15150.0,2019
346,MA,175134.0,2019
347,RR,13807.0,2019
348,PI,92276.0,2019
349,AC,19318.0,2019
350,TO,40260.0,2019
351,PE,303878.0,2020
352,SE,47395.0,2020
353,BA,387734.0,2020
354,PA,201401.0,2020
355,SP,1323020.0,2020
356,MS,77317.0,2020
357,DF,113267.0,2020
358,ES,112007.0,2020
359,RJ,527491.0,2020
360,PR,378942.0,2020
361,SC,204993.0,2020
362,GO,238183.0,2020
363,AL,85479.0,2020
364,MG,578002.0,2020
365,MT,102677.0,2020
366,PB,111082.0,2020
367,CE,255404.0,2020
368,RS,404474.0,2020
369,RO,59817.0,2020
370,RN,100680.0,2020
371,AM,83270.0,2020
372,AP,16976.0,2020
373,MA,189914.0,2020
374,RR,18237.0,2020
375,PI,102372.0,2020
376,AC,21594.0,2020
377,TO,41591.0,2020
378,PE,316389.0,2021
379,SE,48099.0,2021
380,BA,407548.0,2021
381,PA,213550.0,2021
382,SP,1371423.0,2021
383,MS,80885.0,2021
384,DF,124694.0,2021
385,ES,122874.0,2021
